Special,Title,Date,Description,URL
,,"Mon, 16 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan16th.mp3
,,"Tue, 17 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan17th.mp3
,,"Wed, 18 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan18th.mp3
,,"Thu, 19 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan19th.mp3
,,"Fri, 20 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan20th.mp3
,,"Mon, 23 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan23rd.mp3
,,"Tue, 24 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan24th.mp3
,,"Wed, 25 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan25th.mp3
,,"Thu, 26 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan26th.mp3
,,"Fri, 27 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan27th.mp3
,,"Mon, 30 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan30th.mp3
,,"Tue, 31 Jan",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Jan31st.mp3
,,"Wed, 01 Feb",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Feb1st.mp3
,,"Thu, 02 Feb",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Feb2nd.mp3
,,"Fri, 03 Feb",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD12_Feb3rd.mp3
