Special,Title,Date,Description,URL
,"Jay-Jay, Dom & Randall Podcast For Monday May 9th 2016","Mon, 09 May",Mon-YAY Extreme Hung Twit for Brains Tyler the stripper and her famous **** Poll in a song - Naz or Fleur?,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/vFmx0FAWsVw/JDR16_May9th.mp3
,"Jay-Jay, Dom & Randall Podcast For Monday May 10th 2016","Tue, 10 May",Virus Report - Brad the prankster The Winner of the Bachelor Fleur! Twit for Brains Carpool Kareoke I took a poo in a pizza,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/0ZjfTeXaZnQ/JDR16_May10th.mp3
,"Jay-Jay, Dom & Randall Podcast For Monday May 11th 2016","Wed, 11 May",Nazeem Hussain in studio I took a poo in a Pizza Easy Peasy Japanesy - Chang's Party Pants Runner Up Bachelorette Naz in Studio Jordan and Fleur in Studio Hotline Bling,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/KS4ID8JMmzQ/JDR16_May11th.mp3
,"Jay-Jay, Dom & Randell Podcast For Thursday May 12th 2016","Thu, 12 May",Snapchat Cheating The Bachelor Scandal - Amanda Gillies from TV3 on the Phone Suzy Cato is back and is in studio! Randell's Human Slip n Slide Producer Carl VS a 13 year old at spelling Workplace Whistleblowers - Big Mac Bex,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/LkyJ8y3Kuys/JDR16_May12th.mp3
,"Jay-Jay, Dom & Randell Podcast For Friday May 13th 2016","Fri, 13 May",Producers Diary Carl VS a 13 year old at spelling The Human Slip N Slide is back! Hotline Bling Craig Robinson Dirty filthy scammers,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/-ff385HkMqA/JDR16_May13th.mp3
,"Jay-Jay, Dom & Randell Podcast For Monday May 16th 2016","Mon, 16 May",The Human Slip N Slide - We need lube Lick it for Tickets Chyna spent her rent on Beyonce Naked Yoga is a thing Weekend Wins!,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/6v2kUTZ6Dp8/JDR16_May16th.mp3
,"Jay-Jay, Dom & Randell Podcast For Tuesday May 17th 2016","Tue, 17 May",Jay-Jay has a fall I took a poo in a pizza Classic Stitch up The grossest Lick it for Tickets Stupid Accidents,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/Ea_xrZDS5No/JDR16_May17th.mp3
,"Jay-Jay, Dom & Randell Podcast For Wenesday May 18th 2016","Wed, 18 May","Human Slip N Slide is tomorrow! Top 5 celebrity laughs, with a surprise The Rumour Mill - The Bachelor Lick it for tickets Jay-Jay isn't happy with Doms sex impression It's impossible to look cool when..",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/JpVI06QCBGA/JDR_PODCAST_20160518.mp3
,"Jay-Jay, Dom & Randell Podcast For Thursday May 19th 2016","Thu, 19 May",Mark from Married at First Sight Randells Christchurch Jingles The Human Slip N Slide happens! A random on air proposal Lick it for tickets Chris Martin on the phone! Workplace Whistleblowers,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/WEwCUAY9jk0/JDR16_May19th.mp3
,"Jay-Jay, Dom & Randell Podcast For Friday May 20th 2016","Fri, 20 May",Hello Friday! Weird Awards Joseph Parker in Studio Dom says sorry to JJ Lick it for tickets - the boss isn't happy Noels Flatmate hunt Randells awkward proposal comments,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/D9jojBrd2H8/JDR16_May20th.mp3
,"Jay-Jay, Dom & Randell Podcast For Monday May 23rd 2016","Mon, 23 May",Virus Report Can Jay-Jay run faster than a 96 year old? Extreme Hung - Electric fly swat Double or Nothing Promposals William Longbottom,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/plbdkxopk_g/JDR16_May23rd.mp3
,"Jay-Jay, Dom & Randell Podcast For Tuesday May 24th 2016","Tue, 24 May",The 5 Second Rule Game We speak to 96 year old runner Charles Sarah who met Ariana Grande Promposals - Meet Student X Double or Nothing Cute or Creepy? Amanda wants you to keep hot!,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/pXT76BG6HRc/JDR16_May24th.mp3
,"Jay-Jay, Dom & Randell Podcast For Wednesday May 25th 2016","Wed, 25 May",The 5 Second Rule Jay-Jay runs with a bag over her head and hands behind her back Spoiler Alert Dom and his Mum sing Island in the Sun Double or Nothing Promposal - Person X awkwardly asks the Dad for permission Steven Adam's Balls Kerry's abusive txts,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/pXT76BG6HRc/JDR16_May24th.mp3
,"Jay-Jay, Dom & Randell Podcast For Thursday May 26th 2016","Thu, 26 May",Steven Adams Balls Jay-Jay does her much anticipated run Randell and his Mum sing Bang Bang Double or Nothing Kerry's abusive Txts Workplace Whistleblowers - Sugar Babys,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/3t30Th_m23o/JDR16_May26th.mp3
,"Jay-Jay, Dom & Randell Podcast For Friday May 27th 2016","Fri, 27 May",Chang as Maverick in Topgun Producers Diary The Promposal! Hello Friday David Farrier tickles Jay-Jay,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/AUSaaq-r7V4/JDR16_May27th.mp3
,"Jay-Jay, Dom & Randell Podcast For Monday May 30th 2016","Mon, 30 May","The Block Contestants Dyls & Dylz Jay-Jay has been on this show for 21 years! Jay-Jay’s Super Poll - what’s the one thing you would do if you woke up as a woman? Finish this sentence: You know it’s a good night when… Classic Stitch up Noel - Anita calls Noel Extreme Hung - Who will be slapped with a fish, Chang or a random?",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/lQGOKgj3LAk/JDR16_May30th.mp3
