Special,Title,Date,Description,URL
,,"Fri, 04 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June4th.mp3
,,"Tue, 08 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June8th.mp3
,,"Wed, 09 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June9th.mp3
,,"Fri, 11 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June11th.mp3
,,"Mon, 14 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June14th.mp3
,,"Tue, 15 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June15th.mp3
,,"Wed, 16 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June16th.mp3
,,"Thu, 17 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June17th.mp3
,,"Mon, 21 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June21st.mp3
,,"Tue, 22 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June22nd.mp3
,,"Wed, 23 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June23rd.mp3
,,"Thu, 24 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June24th.mp3
,,"Fri, 25 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June25th.mp3
,,"Mon, 28 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June28th.mp3
,,"Wed, 30 Jun",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_June30th.mp3
,,"Thu, 01 Jul",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_July1st.mp3
,,"Fri, 02 Jul",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_July2nd.mp3
,,"Mon, 19 Jul",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_July19th.mp3
,,"Tue, 20 Jul",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_July20th.mp3
,,"Wed, 21 Jul",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_July21st.mp3
,,"Mon, 26 Jul",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_July26th.mp3
,,"Tue, 27 Jul",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_July27th.mp3
,,"Wed, 28 Jul",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_July28th.mp3
,,"Thu, 29 Jul",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_July29th.mp3
,,"Mon, 02 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug2nd.mp3
,,"Tue, 03 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug3rd.mp3
,,"Wed, 04 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug4th.mp3
,,"Thu, 05 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug5th.mp3
,,"Fri, 06 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug6th.mp3
,,"Mon, 09 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug9th.mp3
,,"Tue, 10 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug10th.mp3
,,"Wed, 11 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug11th.mp3
,,"Thu, 12 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug12th.mp3
,,"Fri, 13 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug13th.mp3
,,"Mon, 16 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug16th.mp3
,,"Tue, 17 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug17th.mp3
,,"Wed, 18 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug18th.mp3
,,"Thu, 19 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug19th.mp3
,,"Fri, 20 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug20th.mp3
,,"Mon, 23 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug23rd.mp3
,,"Tue, 24 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug24th.mp3
,,"Wed, 25 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug25th.mp3
,,"Thu, 26 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug26th.mp3
,,"Fri, 27 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug27th.mp3
,,"Mon, 30 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug30th.mp3
,,"Tue, 31 Aug",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Aug31st.mp3
,,"Wed, 01 Sep",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Sept1st.mp3
,,"Thu, 02 Sep",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Sept2nd.mp3
,,"Fri, 03 Sep",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Sept3rd.mp3
,,"Mon, 06 Sep",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Sept6th.mp3
,,"Tue, 07 Sep",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Sept7th.mp3
,,"Wed, 08 Sep",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Sept8th.mp3
,,"Thu, 09 Sep",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Sept9th.mp3
,,"Fri, 10 Sep",,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD10_Sept10th.mp3
